ICD10,ICD9,Flag
C301,1601,00000
C310,1602,00000
C311,1603,00000
C312,1604,00000
C313,1605,00000
C318,1608,00000
C319,1609,00000
C320,1610,00000
C321,1611,00000
C322,1612,00000
C323,1613,00000
C328,1618,00000
C329,1619,00000
C33,1620,00000
C3400,1622,10000
C3401,1622,10000
C3402,1622,10000
C3410,1623,10000
C3411,1623,10000
C3412,1623,10000
C342,1624,00000
C3430,1625,10000
C3431,1625,10000
C3432,1625,10000
C3480,1628,10000
C3481,1628,10000
C3482,1628,10000
C3490,1629,10000
C3491,1629,10000
C3492,1629,10000
C37,1640,00000
C380,1641,10000
C381,1642,00000
C382,1643,00000
C383,1649,00000
C384,1639,10000
C388,1648,00000
C390,1650,00000
C399,1658,10000
C399,1659,10000
C4000,1704,10000
C4001,1704,10000
C4002,1704,10000
C4010,1705,10000
C4011,1705,10000
C4012,1705,10000
C4020,1707,10000
C4021,1707,10000
C4022,1707,10000
C4030,1708,10000
C4031,1708,10000
C4032,1708,10000
C4080,1709,10000
C4081,1709,10000
C4082,1709,10000
C4090,1709,10000
C4091,1709,10000
C4092,1709,10000
C410,1700,00000
C411,1701,00000
C412,1702,00000
C413,1703,00000
C414,1706,00000
C419,1709,10000
C430,1720,10000
C4310,1721,10000
C4311,1721,10000
C4312,1721,10000
C4320,1722,10000
C4321,1722,10000
C4322,1722,10000
C4330,1723,10000
C4331,1723,10000
C4339,1723,10000
C434,1724,10000
C4351,1725,10000
C4352,1725,10000
C4359,1725,10000
C4360,1726,10000
C4361,1726,10000
C4362,1726,10000
C4370,1727,10000
C4371,1727,10000
C4372,1727,10000
C438,1728,10000
C439,1729,10000
C4400,17300,00000
C4401,17301,00000
C4402,17302,00000
C4409,17309,00000
C44101,17310,10000
C44102,17310,10000
C44109,17310,10000
C44111,17311,10000
C44112,17311,10000
C44119,17311,10000
C44121,17312,10000
C44122,17312,10000
C44129,17312,10000
C44191,17319,10000
C44192,17319,10000
C44199,17319,10000
C44201,17320,10000
C44202,17320,10000
C44209,17320,10000
C44211,17321,10000
C44212,17321,10000
C44219,17321,10000
C44221,17322,10000
C44222,17322,10000
C44229,17322,10000
C44291,17329,10000
